query_number,query_cursor,success,reviews_retrieved
111,AoIIPwbrPneZg4IB,1.0,100.0
112,AoIIPwbDVH%2BWxYsB,1.0,100.0
113,AoIIPwae5HH%2BntMB,1.0,100.0
114,AoIIPwae5H612a8B,1.0,100.0
115,AoIIPwae5Hbw9JAB,1.0,100.0
116,AoIIPwae5HiDwnE%3D,1.0,100.0
117,AoIIPwae5HXvtkA%3D,1.0,100.0
118,AoIIPwaKQHvbhtQB,1.0,100.0
119,AoIIPwZ7HHWGyooB,1.0,100.0
120,AoIIPwZVbXufgeYB,1.0,100.0
121,AoIIPwYYanfAoPUB,1.0,100.0
122,AoIIPwYYanqIse0B,1.0,100.0
123,AoIIPwYYan%2B7rugB,1.0,100.0
124,AoIIPwYYanmflOUB,1.0,100.0
125,AoIIPwYYanTniuMB,1.0,100.0
126,AoIIPwYYanbQz98B,1.0,100.0
127,AoIIPwYYanvAmd0B,1.0,100.0
128,AoIIPwYYanmn/NkB,1.0,100.0
129,AoIIPwYYanWmn9cB,1.0,100.0
130,AoIIPwYYanP6jdUB,1.0,100.0
131,AoIIPwYYanHsi9EB,1.0,100.0
132,AoIIPwYYanPd%2BM4B,1.0,100.0
133,AoIIPwYYanbGuM0B,1.0,100.0
134,AoIIPwYYanGTvssB,1.0,100.0
135,AoIIPwYYanywo8oB,1.0,100.0
136,AoIIPwYYanD4mMkB,1.0,100.0
137,AoIIPwYYaniDpcgB,1.0,100.0
138,AoIIPwYYanKGiscB,1.0,100.0
139,AoIIPwYYanmNyMUB,1.0,100.0
140,AoIIPwYYan/B0cMB,1.0,100.0
141,AoIIPwYYann9usEB,1.0,100.0
142,AoIIPwYYanGChr8B,1.0,100.0
143,AoIIPwYYanTKi70B,1.0,100.0
144,AoIIPwYYanuT37oB,1.0,100.0
145,AoIIPwYYan6g/7gB,1.0,100.0
146,AoIIPwYYanq6obcB,1.0,100.0
147,AoIIPwYYanTVvbUB,1.0,100.0
148,AoIIPwYYanz237MB,1.0,100.0
149,AoIIPwYYanOGorMB,1.0,100.0
150,AoIIPwYYani4zbIB,1.0,100.0
151,AoIIPwYYanKqirIB,1.0,100.0
152,AoIIPwYYanaa0LEB,1.0,100.0
153,AoIIPwYYan7HlLEB,1.0,100.0
154,AoIIPwYYany72LAB,1.0,100.0
155,AoIIPwYYanibm7AB,1.0,100.0
156,AoIIPwYYanqC7a8B,1.0,100.0
157,AoIIPwYYanTuxa8B,1.0,100.0
158,AoIIPwYYanb96K4B,1.0,100.0
159,AoIIPwYYana8gq0B,1.0,100.0
160,AoIIPwYYanTNoKsB,1.0,100.0
161,AoIIPwYYanKD2qkB,1.0,100.0
162,AoIIPwYYanmknagB,1.0,100.0
163,AoIIPwYYanSJjacB,1.0,100.0
164,AoIIPwYYany1lqYB,1.0,100.0
165,AoIIPwYYanm2qqUB,1.0,100.0
166,AoIIPwYYaneP1KMB,1.0,100.0
167,AoIIPwYYanKwh6IB,1.0,100.0
168,AoIIPwYYanGWjqAB,1.0,100.0
169,AoIIPwYYanuztp4B,1.0,100.0
170,AoIIPwYYanzK45wB,1.0,100.0
171,AoIIPwYYan78g5sB,1.0,100.0
172,AoIIPwYYanrksZgB,1.0,100.0
173,AoIIPwYYanuKopYB,1.0,100.0
174,AoIIPwYYaniHzJQB,1.0,100.0
175,AoIIPwYYanGv9JIB,1.0,100.0
176,AoIIPwYYanPvs5EB,1.0,100.0
177,AoIIPwYYaneav5AB,1.0,100.0
178,AoIIPwYYanmZ6o8B,1.0,100.0
179,AoIIPwYYaniRgY8B,1.0,100.0
180,AoIIPwYYany6wo4B,1.0,100.0
181,AoIIPwYYan/h%2Bo0B,1.0,100.0
182,AoIIPwYYanGzso0B,1.0,100.0
183,AoIIPwYYan3F6owB,1.0,100.0
184,AoIIPwYYanjHsIwB,1.0,100.0
185,AoIIPwYYanydmosB,1.0,100.0
186,AoIIPwYYanqXt4kB,1.0,100.0
187,AoIIPwYYanuUhogB,1.0,100.0
188,AoIIPwYYanTemoUB,1.0,100.0
189,AoIIPwYYan/2o4IB,1.0,100.0
190,AoIIPwYYan64tX8%3D,1.0,100.0
191,AoIIPwYYan6jqHs%3D,1.0,100.0
192,AoIIPwYYanfOing%3D,1.0,100.0
193,AoIIPwYYan%2BFhHQ%3D,1.0,100.0
194,AoIIPwYYan2qwG8%3D,1.0,100.0
195,AoIIPwYYanzjhGw%3D,1.0,100.0
196,AoIIPwYYanm5jWo%3D,1.0,100.0
197,AoIIPwYYan3Rvmg%3D,1.0,100.0
198,AoIIPwYYanrl/GY%3D,1.0,100.0
199,AoIIPwYYanuzwmQ%3D,1.0,100.0
200,AoIIPwYYanr99Vw%3D,1.0,100.0
201,AoIIPwYYan/LiFc%3D,1.0,100.0
202,AoIIPwYYanye104%3D,1.0,100.0
203,AoIIPwYYanuA90U%3D,1.0,100.0
204,AoIIPwYYan%2BG9js%3D,1.0,100.0
205,AoIIPwYYanv7sTE%3D,1.0,100.0
206,AoIIPwYYan6Nzik%3D,1.0,100.0
207,AoIIPwYYanidiyM%3D,1.0,100.0
208,AoIIPwYYanOugx4%3D,1.0,100.0
209,AoIIPwYMF3/OjkQ%3D,1.0,100.0
210,AoIIPwXb7H3KsO8B,1.0,100.0
211,AoIIPwW3nn7QwKAB,1.0,100.0
212,AoIIPwWlqXDkmL4B,1.0,100.0
213,AoIIPwWYfHzn5mY%3D,1.0,100.0
214,AoIIPwWQsHPGwdcB,1.0,100.0
215,AoIIPwWQsHfp%2BsYB,1.0,100.0
216,AoIIPwWQsHGY17MB,1.0,100.0
217,AoIIPwWQsHnClbAB,1.0,100.0
218,AoIIPwWQsHGE96UB,1.0,100.0
219,AoIIPwWQsHG26JkB,1.0,100.0
220,AoIIPwWQsHzKuo8B,1.0,100.0
221,AoIIPwWQsH2z0YgB,1.0,100.0
222,AoIIPwWQsH%2BOlnU%3D,1.0,100.0
223,AoIIPwWQsHrkzGI%3D,1.0,100.0
224,AoIIPwWQsHvHvEQ%3D,1.0,100.0
225,AoIIPwWQsHyoqyo%3D,1.0,100.0
226,AoIIPwWQsHzW8wY%3D,1.0,100.0
227,AoIIPwVewHTl7OoB,1.0,100.0
228,AoIIPwVConmZ9q8B,1.0,100.0
229,AoIIPwUuQXOg9tAB,1.0,100.0
230,AoIIPwUeuHKqzrkB,1.0,100.0
231,AoIIPwUeuHmq5ZEB,1.0,100.0
232,AoIIPwUeuH7I6Fg%3D,1.0,100.0
233,AoIIPwUUTXWAza4B,1.0,100.0
234,AoIIPwUEgXzKtqgB,1.0,100.0
235,AoIIPwTsU3T3%2BHg%3D,1.0,100.0
236,AoIIPwTDoHrTzGI%3D,1.0,100.0
237,AoIIPwS9qX2ajWU%3D,1.0,100.0
238,AoIIPwSq/H6wlpUB,1.0,100.0
239,AoIIPwSKJn3N9nE%3D,1.0,100.0
240,AoIIPwRp6HGw2KQB,1.0,100.0
241,AoIIPwRdEHn%2B3j0%3D,1.0,100.0
242,AoIIPwQw5Hnyj4wB,1.0,100.0
243,AoIIPwQhCHmf2mY%3D,1.0,100.0
244,AoIIPwP4EnTUs40B,1.0,100.0
245,AoIIPwPXgHn1rXE%3D,1.0,100.0
246,AoIIPwO2Z3qioXU%3D,1.0,100.0
247,AoIIPwOT/3bkq5oB,1.0,100.0
248,AoIIPwN1p3rhnJwB,1.0,100.0
249,AoIIPwNNz3Sikt4B,1.0,100.0
250,AoIIPwMfNn/W/40B,1.0,100.0
251,AoIIPwL6xnns22U%3D,1.0,100.0
252,AoIIPwLYLHnRsUo%3D,1.0,100.0
253,AoIIPwK3zHSVmnI%3D,1.0,100.0
254,AoIIPwKSknSK0pMB,1.0,100.0
255,AoIIPwKChHyzvVo%3D,1.0,100.0
256,AoIIPwJPAX%2BAw6UB,1.0,100.0
257,AoIIPwIsE3LixcAB,1.0,100.0
258,AoIIPwIZM3Oqk48B,1.0,100.0
259,AoIIPwHvt3zn3K0B,1.0,100.0
260,AoIIPwHNgXawv7UB,1.0,100.0
261,AoIIPwGxhX%2BVvNEB,1.0,100.0
262,AoIIPwGWEHCZl68B,1.0,100.0
263,AoIIPwGFz3/ujs8B,1.0,100.0
264,AoIIPwFoH3vppb4B,1.0,100.0
265,AoIIPwFTBXf5rlY%3D,1.0,100.0
266,AoIIPwFEeHPTjmY%3D,1.0,100.0
267,AoIIPwFEZ3zDu1E%3D,1.0,100.0
268,AoIIPwE123uwkSg%3D,1.0,100.0
269,AoIIPwEn9njt/zA%3D,1.0,100.0
270,AoIIPwEaVHCe0mU%3D,1.0,100.0
271,AoIIPwEI9naHs5AB,1.0,100.0
272,AoIIPwD2WnfHiUs%3D,1.0,100.0
273,AoIIPwDh%2BH//kNMB,1.0,100.0
274,AoIIPwDQaH/w4ogB,1.0,100.0
275,AoIIPwC%2BDnuo4mY%3D,1.0,100.0
276,AoIIPwCxvHK2yHM%3D,1.0,100.0
277,AoIIPwCwr3SXgB8%3D,1.0,100.0
278,AoIIPwCjDnfbiosB,1.0,100.0
279,AoIIPwCjDn/%2B3ocB,1.0,100.0
280,AoIIPwCjDnTIjIIB,1.0,100.0
281,AoIIPwCjDn72tX4%3D,1.0,100.0
282,AoIIPwCjDnPe5Hg%3D,1.0,100.0
283,AoIIPwCjDnbav3Q%3D,1.0,100.0
284,AoIIPwCjDn2Wxms%3D,1.0,100.0
285,AoIIPwCjDnPMl2g%3D,1.0,100.0
286,AoIIPwCjDn3VomU%3D,1.0,100.0
287,AoIIPwCjDn2ujls%3D,1.0,100.0
288,AoIIPwCjDnyL1U8%3D,1.0,100.0
289,AoIIPwCjDnL2j0g%3D,1.0,100.0
290,AoIIPwCjDnzJmUI%3D,1.0,100.0
